KODE_KL,NAMA_KL,KODE_SATKER,KODE_BARANG,NUP,NO_DIPA,NO_SP2D,TGL_SP2D,NILAI,KODE_AKUN,UR_AKUN,NOREG,JENIS_TRANSAKSI,UR_JNS_TRANSASKI,TGL_BUKU,NO_BUKTI,JENIS_PEMELIHARAAN,PIHAK_PEMELIHARA,URAIAN_UNIT_PEMELIHARA,UNIT_PEMEILHARA,KETERANGAN,TERAKHIR_YN
A,KEMENTERIAN A ,JJ,3020102003,5,DIPA-JJ,207000000000000.0,2014-2-9 00:00:00.000,9467400,523121,\N,3.02.01.02.003.00005,\N,\N,\N,\N,Cuci Mobil,Kementerian Lembaga (K/L),KANTOR JJ,JJ,\N,N
A,KEMENTERIAN A ,GG,3020105003,1,DIPA-GG,194000000000000.0,2019-6-17 00:00:00.000,168600,523121,\N,3.02.01.02.003.00001,\N,\N,\N,\N,Cuci Mobil,Kementerian Lembaga (K/L),KANTOR GG,GG,\N,N
A,KEMENTERIAN A ,II,3020102003,3,DIPA-II,201000000000000.0,2016-3-14 00:00:00.000,1140700,523121,\N,3.02.01.02.003.00003,\N,\N,\N,\N,Perawatan NTWF,Kementerian Lembaga (K/L),KANTOR II,II,\N,N
A,KEMENTERIAN A ,JJ,3020105003,2,DIPA-JJ,194000000000000.0,2017-12-14 00:00:00.000,6299400,523121,\N,3.02.01.02.003.00002,\N,\N,\N,\N,Perawatan NGRX,Kementerian Lembaga (K/L),KANTOR JJ,JJ,\N,N
A,KEMENTERIAN A ,II,3020103003,4,DIPA-II,185000000000000.0,2017-12-17 00:00:00.000,7652400,523121,\N,3.02.01.02.003.00004,\N,\N,\N,\N,Ganti Aki,Kementerian Lembaga (K/L),KANTOR II,II,\N,N
A,KEMENTERIAN A ,JJ,3020103003,3,DIPA-JJ,163000000000000.0,2020-1-26 00:00:00.000,2580800,523121,\N,3.02.01.02.003.00003,\N,\N,\N,\N,Ganti DNGG,Kementerian Lembaga (K/L),KANTOR JJ,JJ,\N,N
A,KEMENTERIAN A ,FF,3020101003,4,DIPA-FF,199000000000000.0,2020-10-22 00:00:00.000,858400,523121,\N,3.02.01.02.003.00004,\N,\N,\N,\N,Perawatan RLUW,Kementerian Lembaga (K/L),KANTOR FF,FF,\N,N
A,KEMENTERIAN A ,FF,3020103003,3,DIPA-FF,186000000000000.0,2019-4-8 00:00:00.000,2024900,523121,\N,3.02.01.02.003.00003,\N,\N,\N,\N,Perawatan EDMY,Kementerian Lembaga (K/L),KANTOR FF,FF,\N,N
A,KEMENTERIAN A ,FF,3020101003,4,DIPA-FF,208000000000000.0,2017-4-14 00:00:00.000,1352300,523121,\N,3.02.01.02.003.00004,\N,\N,\N,\N,Perawatan SSBU,Kementerian Lembaga (K/L),KANTOR FF,FF,\N,N
A,KEMENTERIAN A ,JJ,3020102003,4,DIPA-JJ,196000000000000.0,2017-8-10 00:00:00.000,2934700,523121,\N,3.02.01.02.003.00004,\N,\N,\N,\N,Penggantian Radiator,Kementerian Lembaga (K/L),KANTOR JJ,JJ,\N,N
A,KEMENTERIAN A ,HH,3020101003,4,DIPA-HH,173000000000000.0,2017-11-8 00:00:00.000,7079700,523121,\N,3.02.01.02.003.00004,\N,\N,\N,\N,Pembayaran PKB,Kementerian Lembaga (K/L),KANTOR HH,HH,\N,N
A,KEMENTERIAN A ,EE,3020103003,6,DIPA-EE,209000000000000.0,2018-3-8 00:00:00.000,2486500,523121,\N,3.02.01.02.003.00006,\N,\N,\N,\N,Perawatan EJIS,Kementerian Lembaga (K/L),KANTOR EE,EE,\N,N
A,KEMENTERIAN A ,EE,3020105003,3,DIPA-EE,209000000000000.0,2018-5-19 00:00:00.000,7490100,523121,\N,3.02.01.02.003.00003,\N,\N,\N,\N,Perawatan MDCI,Kementerian Lembaga (K/L),KANTOR EE,EE,\N,N
A,KEMENTERIAN A ,BB,3020102003,5,DIPA-BB,193000000000000.0,2016-1-14 00:00:00.000,26317200,523121,\N,3.02.01.02.003.00005,\N,\N,\N,\N,Perawatan EVSC,Kementerian Lembaga (K/L),KANTOR BB,BB,\N,N
A,KEMENTERIAN A ,BB,3020105003,6,DIPA-BB,192000000000000.0,2016-3-28 00:00:00.000,2368900,523121,\N,3.02.01.02.003.00006,\N,\N,\N,\N,Perawatan KXXJ,Kementerian Lembaga (K/L),KANTOR BB,BB,\N,N
A,KEMENTERIAN A ,BB,3020105003,2,DIPA-BB,199000000000000.0,2018-4-14 00:00:00.000,71833600,523121,\N,3.02.01.02.003.00002,\N,\N,\N,\N,Perawatan IRZF,Kementerian Lembaga (K/L),KANTOR BB,BB,\N,N
A,KEMENTERIAN A ,BB,3020103003,1,DIPA-BB,168000000000000.0,2019-8-18 00:00:00.000,4065300,523121,\N,3.02.01.02.003.00001,\N,\N,\N,\N,Perawatan UBTO,Kementerian Lembaga (K/L),KANTOR BB,BB,\N,N
A,KEMENTERIAN A ,DD,3020101003,1,DIPA-DD,210000000000000.0,2018-9-6 00:00:00.000,3554600,523121,\N,3.02.01.02.003.00001,\N,\N,\N,\N,Perawatan Rutin,Kementerian Lembaga (K/L),KANTOR DD,DD,\N,N
