KODE_KL,NAMA_KL,KODE_SATKER,KODE_BARANG,NUP,NO_DIPA,NO_SP2D,TGL_SP2D,NILAI,KODE_AKUN,UR_AKUN,NOREG,JENIS_TRANSAKSI,UR_JNS_TRANSASKI,TGL_BUKU,NO_BUKTI,JENIS_PEMELIHARAAN,PIHAK_PEMELIHARA,URAIAN_UNIT_PEMELIHARA,UNIT_PEMEILHARA,KETERANGAN,TERAKHIR_YN
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020104001,5,4b0e181966ccad26c429b0d7cd9b4cd160b11fac140f3132d044ae10acfa9ef7,4bf26ba0534dfa93d3b5ad92427824d482fab6f2bddbf5666db580099f2b8891,7/15/2015,57000,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,42b8c267cdbb6cd617393a0bb2dd9b3a4686fb936301e8634f52b55b95e82d44,,,,,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020104001,6,f85c8493a1d785d97344e4d94ab96bb8733a52df98528add0606ad633a55933c,9a1c5f49ae0ee0dcef47c15c50cc1c14fb27c932da3f68efd03237b434939305,3/25/2015,315000,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,80bbc92dabc5c1ba9a564eea4474fb60d3ea13d38ba973912036ef5d88641358,,,,,5c03804d812f5457a3d9921575c566242966f2ff256a0c54add01c9222bc3ae4,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020104001,5,f85c8493a1d785d97344e4d94ab96bb8733a52df98528add0606ad633a55933c,e68b2794c1093fd7d49aff59569b7501f9a6921b4e53291b500a75ab63511015,6/9/2015,218000,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,42b8c267cdbb6cd617393a0bb2dd9b3a4686fb936301e8634f52b55b95e82d44,,,,,7aad526a02c54c60483cbaa72a057af4ac2ae3c0e55c14c83204150f76284da3,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020104001,6,f85c8493a1d785d97344e4d94ab96bb8733a52df98528add0606ad633a55933c,e68b2794c1093fd7d49aff59569b7501f9a6921b4e53291b500a75ab63511015,6/9/2015,452000,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,80bbc92dabc5c1ba9a564eea4474fb60d3ea13d38ba973912036ef5d88641358,,,,,bd5a729285160b022901921e4739a089be648eebf3b4161dfc56f3582804e67c,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020104001,3,f85c8493a1d785d97344e4d94ab96bb8733a52df98528add0606ad633a55933c,8c2fbc9433ce1c6e4c0b0758fe37c3ede9e23acdb97fd9226a63365de73825bd,8/18/2015,466000,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,4098b7061557cfd2e23e14ea11f2fd506f4f04f92ab76ce12bcc01e3cbdca628,,,,,30566d949c96cfb85715a53ca1c639630c41045ce52be337caef286d35f40389,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020105018,1,080d93e529bb95d9e6c76c713b18c3749c70d7510104b4f7d0804c5cd36da8c9,a42c67178b580eacdbec1d2560e1ac5f74058f094a42ec6f0736689716b4ec0b,4/13/2016,490037,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,0d0b92be7637ed3ccfc7885e3b85200959c28c7e8af4dbb1de1543e3488863c2,,,,,54cae120bec5f3ff4add21765c7e29a433157657162adaf122c0690a1ca80445,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020105018,1,080d93e529bb95d9e6c76c713b18c3749c70d7510104b4f7d0804c5cd36da8c9,a42c67178b580eacdbec1d2560e1ac5f74058f094a42ec6f0736689716b4ec0b,4/13/2016,2680700,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,0d0b92be7637ed3ccfc7885e3b85200959c28c7e8af4dbb1de1543e3488863c2,,,,,2ab6fbe14488c57e66e925724a7edb21b1750cd7a5abb935334657b4bb982c8e,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020105018,2,080d93e529bb95d9e6c76c713b18c3749c70d7510104b4f7d0804c5cd36da8c9,a42c67178b580eacdbec1d2560e1ac5f74058f094a42ec6f0736689716b4ec0b,4/13/2016,2680700,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,ef32ec9940f19b127659cf1dc8d578e7c728e64a1472b927457ca910c6848eb8,,,,,80bf4d536894acba4536c5ef561161a98ad20709b2479e831aac8fafd541e006,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020105018,1,f85c8493a1d785d97344e4d94ab96bb8733a52df98528add0606ad633a55933c,0f997e04ee9adc4dd49a2cab197b2235dea11589e49ab4131567103977c3a35b,12/5/2016,2643000,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,0d0b92be7637ed3ccfc7885e3b85200959c28c7e8af4dbb1de1543e3488863c2,,,,,2bb6603ce6a8c34a748bb5efdd71bef06f72fd00e2184805df4c3ad1c6d2d287,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,ff5b02bdeb08cfa3033ef2bdc72f969ee08542d4dac68b309b8cdc67b0ae1229,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,3020105018,2,f85c8493a1d785d97344e4d94ab96bb8733a52df98528add0606ad633a55933c,0f997e04ee9adc4dd49a2cab197b2235dea11589e49ab4131567103977c3a35b,5/12/2016,2643000,8da4d5df37fd54233e50ec4af0b5f54eaa392608ba311b52fa2157dd004fdc6d,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,ef32ec9940f19b127659cf1dc8d578e7c728e64a1472b927457ca910c6848eb8,,,,,dd610d31ee2abceb78f132866963f9903127c02c0049c74f7a474d50f5961c40,Kementerian Lembaga (K/L),7514e219d367972988e6e0bf1603f5e639dc7ad33880f44739c52d587229a486,33004c7056d7ccf3ef30914250991cbe155c564724142692bff81ade009a373f,9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,N
